PKANCODE,COMMUNE_NL,STREET_NL,HUISNR,LAT,LON
2275,Lille,Hoogland,85,51.2341358125,4.83612817117
2275,Lille,Veenzijde,67,51.2567636838,4.8643172579
2275,Lille,Gierlebaan,4,51.2418882157,4.82365010831
2275,Lille,Heikant,56,51.2296450078,4.82798452585
2275,Lille,Wechelsebaan,103,51.2497172183,4.81676969177
2275,Lille,Pulsebaan,50,51.2599269332,4.7840406854
2275,Lille,Haarlebeek,5,51.2839904513,4.83032583221
2275,Lille,Pimpelmeesweg,13,51.2764403901,4.79575669058
2275,Lille,Heikant,74,51.2292322544,4.82638707063
2275,Lille,Heggelaan,37,51.2229807573,4.83371775485
2275,Lille,Eikenlaan,37,51.2388269374,4.83036302955
2275,Lille,Duinenweg,13,51.2794449074,4.79585938234
2275,Lille,Moereind,34,51.2564997812,4.79495926373
2275,Lille,Nieuwstraat,34A,51.2619512316,4.79206247836
2275,Lille,Zielestraat,29,51.2266915477,4.84585085634
2275,Lille,Schoolstraat,25,51.2680262175,4.86534020466
2275,Lille,Molenpad,61,51.2744070835,4.86881659448
2275,Lille,Mastbosweg,9,51.2759669372,4.79181806392
2275,Lille,Berkenlaan,10,51.2281981644,4.81693277972
2275,Lille,Rodenheide,17,51.2824343767,4.79219954309
2275,Lille,Eekhoornweg,24,51.2749881052,4.79083829098
2275,Lille,Hoogland,67,51.2345749869,4.8383950742
2275,Lille,Gebroeders De Winterstraat,39,51.2620652928,4.79027790399
2275,Lille,Rozenlaan,21,51.2650651158,4.86708072185
2275,Lille,Kloosterstraat,3,51.2661435249,4.86723526326
2275,Lille,De Nefstraat,65,51.2706433679,4.87193034902
2275,Lille,Tielenbaan,10,51.2375538878,4.8266477384
2275,Lille,Bersegembaan,32,51.2716466082,4.78901983043
2275,Lille,Nachtegalenstraat,6,51.2510154528,4.82004335004
2275,Lille,Heide,20,51.2349553884,4.85533440233
2275,Lille,Moereind,127A,51.2519223761,4.78240858771
2275,Lille,Beek,48,51.2348958997,4.83421176959
2275,Lille,Vendelmansweg,75,51.2666795084,4.79721616614
2275,Lille,Wechelsebaan,85,51.2486301912,4.8176835703
2275,Lille,Zittaartse heide,32,51.2267845356,4.81424978674
2275,Lille,Herentalsesteenweg,34,51.2246813299,4.83272798517
2275,Lille,Hoogland,49,51.2354237999,4.83716598886
2275,Lille,Baan,68,51.2343839676,4.83889541196
2275,Lille,Kerkstraat,59,51.2378194368,4.8199610635
2275,Lille,Kloosterstraat,27,51.2648913915,4.86555961317
2275,Lille,Houtzijde,17,51.2476753086,4.82973615404
2275,Lille,De Dijken,37,51.2467568638,4.82881477566
2275,Lille,Hemeldonk,30,51.2736043518,4.8519542664
2275,Lille,Borze,19,51.2392320838,4.83663598951
2275,Lille,Hoeven,1,51.2191200412,4.8417377162
2275,Lille,Zand,6,51.2694409516,4.79977645289
2275,Lille,Wechelsebaan,121,51.2515138349,4.81529611753
2275,Lille,Kabienstraat,57,51.2418416569,4.82128642712
2275,Lille,Turnhoutsebaan,78,51.279662267,4.89074783596
2275,Lille,Balsakker,85,51.2379315089,4.80603414292
2275,Lille,Neerhof,11,51.2328129798,4.82750723492
2275,Lille,Koolmeesweg,21,51.2773330795,4.79347051834
2275,Lille,Borze,37,51.2410412014,4.83767789695
2275,Lille,S. Daneelsstraat,14,51.2719881922,4.86807770472
2275,Lille,Leeuweriksstraat,22,51.2589060462,4.86385402156
2275,Lille,Fazantestraat,34,51.2464032819,4.82677306
2275,Lille,Beukenlaan,12,51.2291090972,4.81737303674
2275,Lille,Beersebaan,73,51.2718443786,4.86613741215
2275,Lille,Schoorstraat,43,51.2800287858,4.86851774945
2275,Lille,Kabienstraat,75,51.2428100971,4.82146840434
2275,Lille,Beulk,19,51.2635971616,4.78383520766
2275,Lille,Molenheidedreef,44,51.2733524809,4.79847475218
2275,Lille,Rechtestraat,73,51.2414083885,4.82297854264
2275,Lille,Heerle,66,51.2186420597,4.87019863277
2275,Lille,Doolstraat,53,51.2599052452,4.86679566966
2275,Lille,Laagland,29,51.2313026809,4.83054052871
2275,Lille,Achterstenhoek,22,51.2502643858,4.81330904483
2275,Lille,Oude Lillebaan,15A,51.2629825641,4.85178032303
2275,Lille,Heikant,9,51.2300586335,4.83233892144
2275,Lille,Tielenbaan,68,51.2366167629,4.83400317865
2275,Lille,Hoogland,11,51.236097166,4.83638554933
2275,Lille,Biezenhoek,7,51.2301151746,4.83650927654
2275,Lille,Zittaartse heide,26,51.2272108709,4.81591174229
2275,Lille,Gebroeders De Winterstraat,64,51.2594850747,4.79586204213
2275,Lille,Middelveld,30,51.2708279816,4.87983075386
2275,Lille,Beersebaan,149,51.2766339481,4.86343527421
2275,Lille,Heggelaan,53,51.221782134,4.83225450495
2275,Lille,Broekzijstraat,143,51.2483040583,4.81496383469
2275,Lille,Oostmalsebaan,12,51.2645477189,4.78448940589
2275,Lille,Oostmalsebaan,65,51.2669348674,4.78055703257
2275,Lille,Dorp,34,51.2286339711,4.8355054479
2275,Lille,Tuinwijk,14,51.2343897632,4.83265667359
2275,Lille,Lozijde,9,51.2725523606,4.87407162184
2275,Lille,Vennestraat,35,51.2659815077,4.86998769404
2275,Lille,Oostmalsebaan,30,51.2658610835,4.78352201809
2275,Lille,Oevelenberg,5,51.2533977037,4.81660675452
2275,Lille,Kauwenberg,15,51.2564710384,4.82363857412
2275,Lille,Dorp,69,51.2305170563,4.83270311779
2275,Lille,Boskapelstraat,52,51.2341894116,4.82198488979
2275,Lille,Karrewiel,12,51.2745497144,4.79395581547
2275,Lille,Groesaard,7,51.2305869599,4.85546512086
2275,Lille,Kapelstraat,7,51.2435621727,4.82371158202
2275,Lille,De Dalen,24,51.2682135972,4.79050800761
2275,Lille,Pulsebaan,142,51.2503728928,4.77405135088
2275,Lille,Doolstraat,9,51.264234698,4.86988119161
2275,Lille,Laagland,3,51.2312776602,4.82803671187
2275,Lille,Heiend,77,51.2343087231,4.81953372242
2275,Lille,Dorp,16,51.227620985,4.83588625085
2275,Lille,Tielenbaan,86,51.2368087677,4.83709344406
2275,Lille,Gebroeders De Winterstraat,82,51.2582189546,4.79901194001
2275,Lille,Veenzijde,55,51.2583301789,4.86502713537
2275,Lille,Vennestraat,88,51.261692989,4.8727037116
2275,Lille,Achterste Moereind,6,51.2556736211,4.79412117705
2275,Lille,Beersebaan,167,51.2780514526,4.86215753864
2275,Lille,Heymansstraat,5,51.2637198624,4.78709461554
2275,Lille,Karrewiel,30,51.2755966626,4.79400952716
2275,Lille,Gustaaf C. De Bruynestraat,16,51.2288848484,4.84216448248
2275,Lille,Gierlebaan,53,51.2452275361,4.82891465321
2275,Lille,Krokuslaan,15,51.2711309959,4.86841139623
2275,Lille,Veenakkers,4,51.2578945535,4.8633441758
2275,Lille,Molenpad,38,51.2729231852,4.86849857212
2275,Lille,Singel,29,51.2676301865,4.868496725
2275,Lille,Gebroeders De Winterstraat,36,51.2613644955,4.79110088142
2275,Lille,Beek,41,51.236515298,4.83511598934
2275,Lille,Boskapelstraat,8,51.2375728673,4.82111633699
2275,Lille,Moereind,117,51.2538470621,4.78430439001
2275,Lille,Meikloklaan,7,51.2734118477,4.8708828469
2275,Lille,Poederleese weg,42,51.23553906,4.82694004935
2275,Lille,Vlimmersebaan,65A,51.2682253609,4.78666576081
2275,Lille,Broekzijstraat,33,51.2315433496,4.80010610075
2275,Lille,Valvekenstraat,24,51.2523254691,4.81989148388
2275,Lille,Vendelmansweg,70,51.2667002562,4.79818604873
2275,Lille,Wijngaard,6,51.2258940891,4.83736499334
2275,Lille,Dennenlaan,7,51.2605743954,4.79580757952
2275,Lille,Hemeldonk,9,51.2718678726,4.85478530963
2275,Lille,Bergske,8,51.2304288751,4.83475851581
2275,Lille,Schoolblok,5A,51.2681066976,4.87037696447
2275,Lille,Beerseheide,7,51.2942033467,4.84612499278
2275,Lille,Schoolstraat,19,51.2675149981,4.864559463
2275,Lille,Baan,90,51.2393313319,4.86050687243
2275,Lille,Visbeekbaan,38,51.2676219112,4.79256298895
2275,Lille,Lozijde,71,51.2764414903,4.87024445226
2275,Lille,Eekhoornweg,3,51.2760633252,4.79087871912
2275,Lille,Oostmalsebaan,83,51.2679333288,4.77959171722
2275,Lille,Wechelsebaan,47,51.2457212035,4.81996221426
2275,Lille,Lage Schoom,3,51.2479407297,4.82186276495
2275,Lille,Tuinwijk,5,51.2346846935,4.83315543832
2275,Lille,Beersebaan,94,51.2756356139,4.86502077734
2275,Lille,Lichtaartsesteenweg,53,51.2236984492,4.83894925763
2275,Lille,Vlimmersebaan,95A,51.2755883952,4.78371770467
2275,Lille,Vendelmansweg,52,51.2658080067,4.79599676241
2275,Lille,Bersegembaan,17,51.2703539483,4.78812177373
2275,Lille,Wagemansstraat,72,51.257024992,4.79497911695
2275,Lille,Kosterstraat,69,51.2702816472,4.8750939573
2275,Lille,Borze,25,51.2400708156,4.8373124242
2275,Lille,Beulk,78,51.262119893,4.77944537937
2275,Lille,De Nefstraat,29A,51.269455837,4.86964041282
2275,Lille,Hoeksken,30,51.2414219664,4.82665515408
2275,Lille,De Reukens,3,51.280504559,4.88167269826
2275,Lille,Baan,54,51.2335077895,4.8375329915
2275,Lille,Oude Baan,22,51.2697961319,4.87380324998
2275,Lille,Vijfde Bosdreef,16,51.274481725,4.80664339579
2275,Lille,Heerle,8,51.2194038046,4.86497409366
2275,Lille,Beersebaan,58,51.2723972341,4.86656948163
2275,Lille,De Busseltjes,3,51.2284199499,4.84012260514
2275,Lille,Fazantestraat,19,51.2472911099,4.82727317545
2275,Lille,Vennestraat,17,51.2664654958,4.86899971951
2275,Lille,Tielenbaan,51,51.2373418285,4.83041645621
2275,Lille,Kabienstraat,8,51.2390693956,4.82148270472
2275,Lille,Zittaart,10,51.2201322737,4.81660794148
2275,Lille,Lodewijk Mercelislaan,12,51.2617943269,4.78169083697
2275,Lille,Rode-Kruisstraat,2,51.2393698872,4.82482186307
2275,Lille,Herentalsesteenweg,37,51.2242700687,4.83314845729
2275,Lille,Veldstraat,18,51.2393121741,4.81532093875
2275,Lille,Verbindingsstraat,11,51.2323177252,4.82840547378
2275,Lille,Tulpenlaan,12,51.259877571,4.78933021531
2275,Lille,Moereind,28,51.2570515091,4.79609839945
2275,Lille,Heerle,52,51.2168672425,4.87431279079
2275,Lille,Rechtestraat,58,51.2413604887,4.82344346962
2275,Lille,Tielenbaan,119,51.2360555637,4.84056290164
2275,Lille,De Weverkens,18,51.2549972838,4.76735809361
2275,Lille,De Dijken,34,51.2466003171,4.82942919336
2275,Lille,Veldstraat,36,51.2399484775,4.81522351568
2275,Lille,S. Daneelsstraat,17,51.2730401297,4.86919839807
2275,Lille,Heggekapel,5,51.218123121,4.83253882797
2275,Lille,Pulsebaan,98,51.2567523668,4.77768978747
2275,Lille,Beersebaan,13,51.2692221681,4.86678295228
2275,Lille,Akkerpad,12,51.2690893753,4.78471455875
2275,Lille,Stepke,4,51.2649968955,4.78256113176
2275,Lille,Rechtestraat,13,51.2386854605,4.8238076702
2275,Lille,Zagerijstraat,17,51.2331553952,4.82612898891
2275,Lille,Het Laar,3A,51.281572987,4.86280803844
2275,Lille,Schoolstraat,37,51.2683527294,4.86434258051
2275,Lille,Wechelsebaan,20,51.2429735544,4.82267404758
2275,Lille,Oevelenberg,14,51.258566989,4.82006804897
2275,Lille,Zielestraat,33,51.2271189818,4.84595501578
2275,Lille,Peerdskerkhofstraat,12,51.2396738756,4.82621696608
2275,Lille,Wechelsebaan,73,51.2479901948,4.81823208097
2275,Lille,Puttekensberg,48,51.2654169151,4.80738186234
2275,Lille,Vlimmersebaan,95C,51.2756905462,4.7829109583
2275,Lille,Valvekenstraat,59,51.2542321294,4.82449644973
2275,Lille,Biezenhoek,42,51.2305065797,4.84000228771
2275,Lille,Vlimmersebaan,66,51.2682104545,4.78737271587
2275,Lille,Pulsebaan,1,51.2626658027,4.78587226634
2275,Lille,Den Hert,13,51.2628768079,4.78631670143
2275,Lille,Nachtegalenstraat,20,51.2499741145,4.81974436509
2275,Lille,Beulk,122,51.2583630835,4.77670277479
2275,Lille,Moereind,56,51.2562188856,4.7917102161
2275,Lille,Vlimmersebaan,117,51.2786074833,4.78266679958
2275,Lille,Rozenlaan,70,51.26468433,4.86936496023
2275,Lille,Oude Lillebaan,15,51.260941355,4.85347708888
2275,Lille,Vierde Bosdreef,10,51.2737981731,4.8024228561
2275,Lille,Schrieken,2,51.2242076795,4.83143352152
2275,Lille,Visbeekbaan,84,51.2697363034,4.79881588351
2275,Lille,Beulk,104,51.2599214686,4.77914833859
2275,Lille,Veenzijde,27,51.2626111251,4.86448714064
2275,Lille,Heggelaan,78,51.2212908035,4.83051522519
2275,Lille,Dorp,44,51.229380373,4.83498366339
2275,Lille,Wijngaard,41,51.2272131551,4.84039096962
2275,Lille,Kardinaal Cardijnlaan,50,51.2336030183,4.83982689295
